Marginal:
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,eaten,gills ; " : 0.0855
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,-legs ; " : 0.085
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,gills,-legs ; " : 0.083
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish ; " : 0.081
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,eaten,-legs ; " : 0.08
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,eaten,gills,-legs ; " : 0.0795
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,gills ; " : 0.0795
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,eaten ; " : 0.075
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,gills ; " : 0.0125
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish,eaten,gills,-legs ; " : 0.0125
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,-legs ; " : 0.012
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,eaten,gills ; " : 0.0115
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish ; " : 0.0115
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish ; " : 0.0115
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-eaten,gills,-legs ; " : 0.011
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,-lives_in_home,eaten,gills,-legs ; " : 0.0105
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,gills,-legs ; " : 0.0105
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-eaten ; " : 0.01
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish ; " : 0.01
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish,eaten,-legs ; " : 0.0095
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,gills,-legs ; " : 0.009
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,gills ; " : 0.009
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|fish,-lives_in_home,eaten ; " : 0.009
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-legs ; " : 0.009
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-eaten,-legs ; " : 0.0085
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,eaten ; " : 0.0085
